Product Name,Price,Stock,Product URL,Product Image URL,Date,Store Name
Placa video Sapphire Pure Radeon RX 7800 XT Gaming 16GB GDDR6 256-bit,"3.215,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/sapphire-placa-video-sapphire-pure-radeon-rx-7800-xt-gaming-16gb-gddr6-256-bit-4117227.html,https://static3.evomag.ro/img?file=products%2F4117%2F4117227%2Fplaca-video-sapphire-pure-rade-64feeee5d2bb8.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video MSI GeForce RTX 4090 SUPRIM X 24GB GDDR6X 384-bit DLSS 3.0,"11.499,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/msi-placa-video-msi-geforce-rtx-4090-suprim-x-24gb-gddr6x-384-bit-dlss-3.0-4026386.html,https://static3.evomag.ro/img?file=products%2F4026%2F4026386%2Fplaca-video-msi-geforce-rtx-40-6347fd3b3d73d.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video PALIT GeForce RTX 4060 Ti JetStream 16GB GDDR6 128-bit,"2.499,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/palit-placa-video-palit-geforce-rtx-4060-ti-jetstream-16gb-gddr6-128-bit-4117426.html,https://static3.evomag.ro/img?file=products%2F4117%2F4117426%2Fplaca-video-palit-geforce-rtx-65001c62d76ff.png&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video ZOTAC GeForce RTX 4070 Ti AMP AIRO SPIDER-MAN™: Across the Spider-Verse Bundle 12GB GDDR6X 192-bit DLSS 3.0,"4.999,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/zotac-placa-video-zotac-geforce-rtx-4070-ti-amp-airo-spider-man-across-the-spider-verse-bundle-12gb-gddr6x-192-bit-dlss-3.0-4103517.html,https://static3.evomag.ro/img?file=products%2F4103%2F4103517%2Fplaca-video-zotac-geforce-rtx-64a6b47010415.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video Sapphire Radeon RX 7700 XT NITRO+ GAMING 12GB GDDR6 192-bit,"2.549,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/sapphire-placa-video-sapphire-radeon-rx-7700-xt-nitro-gaming-12gb-gddr6-192-bit-4117261.html,https://static3.evomag.ro/img?file=products%2F4117%2F4117261%2Fplaca-video-sapphire-radeon-rx-64ff0f02dcbaa.PNG&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video MSI GeForce RTX 4070 GAMING X SLIM 12GB GDDR6X 192-bit,"3.699,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/msi-placa-video-msi-geforce-rtx-4070-gaming-x-slim-12gb-gddr6x-192-bit-4113908.html,https://static3.evomag.ro/img?file=products%2F4113%2F4113908%2Fplaca-video-msi-geforce-rtx-40-64edb043e0fd2.png&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video GIGABYTE GeForce RTX 4070 Ti EAGLE OC Rev. 2.0 12GB GDDR6X 192-bit DLSS 3.0,"4.599,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/gigabyte-placa-video-gigabyte-geforce-rtx-4070-ti-eagle-oc-rev.-2.0-12gb-gddr6x-192-bit-dlss-3.0-4091580.html,https://static3.evomag.ro/img?file=products%2F4091%2F4091580%2Fplaca-video-gigabyte-geforce-r-63bc29c38b0de.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video XFX Radeon RX 6800 XT Speedster MERC 319 16GB GDDR6 256-bit,"2.999,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/xfx-placa-video-xfx-radeon-rx-6800-xt-speedster-merc-319-16gb-gddr6-256-bit-3838536.html,https://static3.evomag.ro/img?file=products%2F3838%2F3838536%2Fplaca-video-xfx-radeon-rx-6800-61bb478f4ab3e.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video ASUS GeForce RTX 4070 ProArt OC Edition 12GB GDDR6X 192-bit DLSS 3.0,"3.671,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/asus-placa-video-asus-geforce-rtx-4070-proart-oc-edition-12gb-gddr6x-192-bit-dlss-3.0-4113935.html,https://static3.evomag.ro/img?file=products%2F4113%2F4113935%2Fplaca-video-asus-geforce-rtx-4-64edc55b6bdc7.PNG&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video PowerColor Radeon RX 6700 XT Fighter 12GB GDDR6 1‎92-bit,"2.243,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/powercolor-placa-video-powercolor-radeon-rx-6700-xt-fighter-12gb-gddr6-1-92-bit-4068151.html,https://static3.evomag.ro/img?file=products%2F4068%2F4068151%2Fplaca-video-powercolor-radeon-639b199522529.png&height=600&width=600&extend=white,2024-01-05,evoMAG
